,job_id,canonical_tag_id,tag_name
968,6719,122,Django
969,6719,324,Python
970,6719,275,NoSQL
971,6719,336,REST APIs
972,7253,399,Symfony
973,7253,266,MySQL
974,7253,467,Zend Framework
975,7253,307,PHP
976,7371,124,Docker
977,7371,210,kubernetes
978,7371,198,Jenkins
979,7371,19,Amazon Web Services (AWS)
980,6970,194,Java
981,6970,28,API
982,6970,496,Hibernate
983,6970,382,Spring
984,7189,277,Objective-C
985,7189,398,SWIFT
986,7189,187,iOS
987,6715,367,SOA
988,7727,220,Linux
989,7727,38,Bash
990,7727,324,Python
991,7727,19,Amazon Web Services (AWS)
992,7760,307,PHP
993,7760,266,MySQL
994,7760,195,JavaScript
995,3931,23,AngularJS
996,3931,90,CSS
997,3931,174,HTML
998,3931,195,JavaScript
999,3931,153,Front-end
1000,6925,324,Python
1001,6925,383,SQL
1002,6925,220,Linux
1003,7257,124,Docker
1004,7257,324,Python
1005,7257,198,Jenkins
1006,7257,19,Amazon Web Services (AWS)
1007,7368,324,Python
1008,7368,225,Machine Learning
1009,7368,142,ETL
1010,7368,509,Spark
1011,7368,19,Amazon Web Services (AWS)
1012,7441,102,Data-analysis
1013,7441,391,Statistical Data Analysis
1014,7726,28,API
1015,7726,199,JIRA
1016,7726,418,Testing
1017,7726,194,Java
1018,7726,326,Quality Assurance
1019,6574,15,AJAX
1020,6574,333,React
1021,6574,90,CSS
1022,6574,195,JavaScript
1023,6574,507,Elixir
1024,7623,417,Tester
1025,7590,195,JavaScript
1026,7590,266,MySQL
1027,7590,19,Amazon Web Services (AWS)
1028,7590,324,Python
1029,7590,122,Django
1030,7357,201,jQuery
1031,7357,497,SOAP
1032,7357,465,XML
1033,7357,383,SQL
1034,7077,324,Python
1035,7077,146,Express.js
1036,7077,90,CSS
1037,7077,273,Node.js
1038,7077,174,HTML
1039,7522,382,Spring
1040,7522,194,Java
1041,7522,503,Continuous Deployment
1042,7522,501,Continuous Integration
1043,7522,19,Amazon Web Services (AWS)
1044,5256,508,Kotlin
1045,5256,194,Java
1046,5256,353,Scrum
1047,5256,414,Test Automation
1048,5256,336,REST APIs
1049,7585,352,Scala
1050,7585,156,Functional Programming
1051,7645,505,Vue.js
1052,7645,510,React Native
1053,7645,195,JavaScript
1054,7645,333,React
1055,7474,415,Test Driven Development
1056,7474,62,Cloud Computing
1057,7474,502,Continuous Delivery
1058,7474,406,Team Leadership
1059,7474,13,Agile Methodologies
1060,6671,142,ETL
1061,6671,48,Business Intelligence
1062,6671,383,SQL
1063,6671,324,Python
1064,7743,52,C++
1065,7704,122,Django
1066,7704,324,Python
1067,7695,324,Python
1068,7377,275,NoSQL
1069,7377,195,JavaScript
1070,7377,383,SQL
1071,7377,273,Node.js
1072,7377,261,MongoDB
1073,5970,195,JavaScript
1074,5970,174,HTML
1075,5970,90,CSS
1076,7260,6,Account Management
1077,7260,72,Communication Skills
1078,7260,342,Sales
1079,7440,316,Product Management
1080,7440,103,Data-driven Decision Making
1081,6818,376,Software Engineering
1082,6818,335,Redis
1083,6818,194,Java
1084,6818,220,Linux
1085,6818,489,Cassandra
1086,5074,333,React
1087,5074,339,Ruby on Rails
1088,5074,195,JavaScript
1089,5074,324,Python
1090,5074,338,Ruby
1091,4049,195,JavaScript
1092,4049,19,Amazon Web Services (AWS)
1093,4049,266,MySQL
1094,4049,338,Ruby
1095,4049,339,Ruby on Rails
1096,7438,354,Selenium
1097,7438,51,C#
1098,7438,405,Behaviour-Driven Development
1099,7438,194,Java
1100,7438,326,Quality Assurance
1101,7699,273,Node.js
1102,7699,333,React
1103,7547,195,JavaScript
1104,7547,194,Java
1105,7462,319,Programming
1106,7462,418,Testing
1107,7462,13,Agile Methodologies
1108,7462,517,Security
1109,7462,376,Software Engineering
1110,6927,333,React
1111,6927,195,JavaScript
1112,6927,19,Amazon Web Services (AWS)
1113,7494,195,JavaScript
1114,7494,307,PHP
1115,7544,324,Python
1116,7544,220,Linux
1117,7544,38,Bash
